,station,year,month,day,daily rainfall total (mm),highest 30 min rainfall (mm),highest 60 min rainfall (mm),highest 120 min rainfall (mm),mean temperature (°c),maximum temperature (°c),minimum temperature (°c),mean wind speed (km/h),max wind speed (km/h),mean temperature (â°c),maximum temperature (â°c),minimum temperature (â°c)
173,Admiralty,2018,6,23,3.4,1.2,1.4,1.8,26.3,29.9,24.5,6.1,26.6,,,
174,Admiralty,2018,6,24,0.0,0.0,0.0,0.0,26.6,30.1,24.1,7.9,32.4,,,
175,Admiralty,2018,6,25,3.0,1.4,1.4,2.6,26.7,30.4,23.4,6.5,30.2,,,
176,Admiralty,2018,6,26,3.0,1.0,1.8,3.0,26.5,27.9,24.5,3.2,16.2,,,
177,Admiralty,2018,6,27,46.6,28.2,34.0,41.4,25.1,26.9,22.4,5.8,33.8,,,
178,Admiralty,2018,6,28,0.0,0.0,0.0,0.0,27.5,31.5,24.5,5.0,25.9,,,
179,Admiralty,2018,6,29,8.6,3.8,5.0,6.2,25.7,26.8,23.2,4.3,30.2,,,
180,Admiralty,2018,6,30,0.0,0.0,0.0,0.0,27.8,30.3,25.2,5.0,23.0,,,
181,Admiralty,2018,7,1,35.0,17.8,22.2,24.0,25.8,27.7,21.6,5.4,46.8,,,
182,Admiralty,2018,7,2,0.8,0.8,0.8,0.8,27.0,31.2,24.7,4.0,20.2,,,
183,Admiralty,2018,7,3,5.2,2.4,2.8,3.6,27.3,31.0,22.7,5.8,47.2,,,
184,Admiralty,2018,7,4,0.6,0.6,0.6,0.6,28.3,32.2,25.3,5.0,21.6,,,
185,Admiralty,2018,7,5,0.0,0.0,0.0,0.0,28.8,32.3,26.3,6.1,30.6,,,
186,Admiralty,2018,7,6,0.0,0.0,0.0,0.0,28.7,32.6,26.6,7.2,28.4,,,
187,Admiralty,2018,7,7,0.0,0.0,0.0,0.0,28.5,32.1,26.0,7.2,31.0,,,
188,Admiralty,2018,7,8,0.0,0.0,0.0,0.0,28.7,32.1,26.5,6.1,31.0,,,
189,Admiralty,2018,7,9,1.2,1.0,1.2,1.2,28.6,32.2,25.2,5.8,29.5,,,
190,Admiralty,2018,7,10,13.0,10.8,12.8,12.8,26.7,28.5,22.8,9.4,50.8,,,
191,Admiralty,2018,7,11,0.0,0.0,0.0,0.0,28.1,31.5,26.3,5.0,22.0,,,
192,Admiralty,2018,7,12,0.0,0.0,0.0,0.0,29.2,34.4,27.2,6.1,23.0,,,
193,Admiralty,2018,7,13,0.0,0.0,0.0,0.0,29.0,31.8,26.9,7.2,25.2,,,
194,Admiralty,2018,7,14,10.2,4.8,5.2,5.2,27.5,30.6,21.9,6.1,45.7,,,
195,Admiralty,2018,7,15,4.2,4.0,4.0,4.0,27.5,31.2,22.6,6.1,47.9,,,
196,Admiralty,2018,7,16,0.0,0.0,0.0,0.0,29.0,32.8,26.7,6.8,33.5,,,
197,Admiralty,2018,7,17,0.0,0.0,0.0,0.0,28.9,31.7,26.9,7.2,25.2,,,
198,Admiralty,2018,7,18,0.0,0.0,0.0,0.0,29.0,32.1,27.2,7.9,29.5,,,
199,Admiralty,2018,7,19,19.0,16.4,18.2,18.8,28.3,31.7,23.7,6.8,51.5,,,
200,Admiralty,2018,7,20,8.0,7.6,8.0,8.0,29.0,33.0,25.5,5.4,24.5,,,
201,Admiralty,2018,7,21,12.8,12.6,12.8,12.8,28.7,32.0,24.6,5.4,35.3,,,
202,Admiralty,2018,7,22,1.6,1.2,1.2,1.2,28.2,32.0,26.8,4.7,33.5,,,
203,Admiralty,2018,7,23,0.0,0.0,0.0,0.0,29.4,33.7,26.2,6.8,31.7,,,
204,Admiralty,2018,7,24,0.0,0.0,0.0,0.0,29.7,33.8,27.4,8.6,29.2,,,
205,Admiralty,2018,7,25,0.8,0.4,0.4,0.6,27.4,30.1,24.3,7.2,32.8,,,
206,Admiralty,2018,7,26,0.0,0.0,0.0,0.0,28.8,33.6,25.5,6.8,28.4,,,
207,Admiralty,2018,7,27,0.0,0.0,0.0,0.0,29.3,33.4,27.0,7.2,26.3,,,
208,Admiralty,2018,7,28,0.0,0.0,0.0,0.0,29.8,33.6,27.2,7.2,26.3,,,
209,Admiralty,2018,7,29,0.0,0.0,0.0,0.0,29.2,32.9,27.3,6.8,35.3,,,
210,Admiralty,2018,7,30,8.0,5.2,6.6,7.0,26.6,28.4,24.4,7.2,42.1,,,
211,Admiralty,2018,7,31,0.0,0.0,0.0,0.0,27.8,31.7,26.3,5.4,25.2,,,
212,Admiralty,2018,8,1,0.8,0.6,0.6,0.6,26.3,27.5,25.3,6.8,26.3,,,
213,Admiralty,2018,8,2,0.0,0.0,0.0,0.0,28.0,32.2,25.8,6.1,27.4,,,
214,Admiralty,2018,8,3,0.0,0.0,0.0,0.0,28.6,32.0,25.5,7.6,30.6,,,
215,Admiralty,2018,8,4,0.4,0.4,0.4,0.4,28.0,32.7,25.1,8.3,28.4,,,
216,Admiralty,2018,8,5,0.0,0.0,0.0,0.0,27.9,29.8,26.4,6.1,24.8,,,
217,Admiralty,2018,8,6,0.0,0.0,0.0,0.0,28.4,31.6,26.6,6.5,36.7,,,
218,Admiralty,2018,8,7,0.0,0.0,0.0,0.0,28.4,31.1,26.8,6.8,31.3,,,
219,Admiralty,2018,8,8,9.8,8.4,9.0,9.6,26.5,30.1,21.5,7.2,65.9,,,
220,Admiralty,2018,8,9,0.0,0.0,0.0,0.0,28.7,32.2,26.2,5.4,25.6,,,
221,Admiralty,2018,8,10,0.0,0.0,0.0,0.0,29.2,32.4,26.9,6.5,29.5,,,
222,Admiralty,2018,8,11,0.0,0.0,0.0,0.0,29.4,33.8,26.8,6.8,27.7,,,
223,Admiralty,2018,8,12,0.0,0.0,0.0,0.0,29.5,33.6,26.7,6.1,27.0,,,
224,Admiralty,2018,8,13,0.0,0.0,0.0,0.0,29.8,33.7,27.2,7.6,31.3,,,
225,Admiralty,2018,8,14,0.0,0.0,0.0,0.0,29.7,33.5,27.7,7.9,30.6,,,
226,Admiralty,2018,8,15,0.0,0.0,0.0,0.0,29.8,33.6,27.8,9.4,34.6,,,
227,Admiralty,2018,8,16,0.0,0.0,0.0,0.0,29.4,33.0,27.1,7.2,24.5,,,
228,Admiralty,2018,8,17,2.6,2.6,2.6,2.6,28.3,30.9,25.1,7.6,33.1,,,
229,Admiralty,2018,8,18,2.2,2.2,2.2,2.2,28.9,32.6,25.0,7.9,33.1,,,
230,Admiralty,2018,8,19,0.0,0.0,0.0,0.0,29.4,33.3,27.5,10.1,39.2,,,
231,Admiralty,2018,8,20,0.0,0.0,0.0,0.0,29.4,32.6,27.3,8.6,35.3,,,
232,Admiralty,2018,8,21,0.0,0.0,0.0,0.0,29.4,33.2,27.1,7.6,31.0,,,
233,Admiralty,2018,8,22,27.6,16.0,18.0,20.0,26.7,29.3,23.8,5.0,30.6,,,
234,Admiralty,2018,8,23,0.6,0.6,0.6,0.6,28.6,33.5,25.7,6.1,28.4,,,
235,Admiralty,2018,8,24,8.8,7.4,8.4,8.8,26.7,28.8,24.1,5.0,26.3,,,
236,Admiralty,2018,8,25,0.0,0.0,0.0,0.0,27.9,32.7,24.8,6.5,35.6,,,
237,Admiralty,2018,8,26,0.0,0.0,0.0,0.0,29.3,33.7,26.3,6.1,26.3,,,
238,Admiralty,2018,8,27,0.0,0.0,0.0,0.0,29.2,33.4,25.6,8.6,30.2,,,
239,Admiralty,2018,8,28,3.8,3.4,3.6,3.8,27.5,31.0,24.1,5.8,29.9,,,
240,Admiralty,2018,8,29,0.0,0.0,0.0,0.0,27.9,31.6,25.2,5.8,22.3,,,
241,Admiralty,2018,8,30,0.0,0.0,0.0,0.0,28.6,32.4,25.2,6.8,29.9,,,
242,Admiralty,2018,8,31,14.6,10.0,14.0,14.4,27.1,31.9,23.1,7.6,37.8,,,
243,Admiralty,2018,9,1,5.0,4.0,4.4,5.0,26.9,33.2,23.8,5.4,35.3,,,
244,Admiralty,2018,9,2,1.0,1.0,1.0,1.0,26.9,29.4,24.7,4.7,19.4,,,
245,Admiralty,2018,9,3,0.0,0.0,0.0,0.0,27.7,31.0,24.7,5.8,36.7,,,
246,Admiralty,2018,9,4,22.6,11.6,15.8,20.8,25.7,27.7,21.9,5.4,54.0,,,
247,Admiralty,2018,9,5,0.0,0.0,0.0,0.0,27.2,31.5,24.3,5.0,28.8,,,
248,Admiralty,2018,9,6,0.0,0.0,0.0,0.0,27.8,32.6,25.0,5.8,24.5,,,
249,Admiralty,2018,9,7,7.6,1.8,2.8,4.4,26.4,30.1,24.4,4.3,30.6,,,
250,Admiralty,2018,9,8,6.4,2.2,4.0,6.2,26.6,30.2,23.6,5.4,29.9,,,
251,Admiralty,2018,9,9,5.4,3.4,4.6,5.2,27.5,31.0,24.9,4.7,40.0,,,
252,Admiralty,2018,9,10,0.6,0.4,0.6,0.6,27.1,31.5,25.3,5.8,31.7,,,
253,Admiralty,2018,9,11,0.2,0.2,0.2,0.2,26.5,30.1,24.6,5.8,28.4,,,
254,Admiralty,2018,9,12,0.0,0.0,0.0,0.0,27.8,31.4,22.6,6.1,30.2,,,
255,Admiralty,2018,9,13,0.0,0.0,0.0,0.0,29.3,33.1,26.0,5.4,28.8,,,
256,Admiralty,2018,9,14,0.0,0.0,0.0,0.0,29.2,32.9,26.7,7.2,36.7,,,
257,Admiralty,2018,9,15,0.0,0.0,0.0,0.0,28.8,31.8,27.3,6.1,23.8,,,
